################################### RECORDED ###################################
# Collectl:   V3.1.2-2  HiRes: 1  Options: -scdE -i1::1 -c100 -f.  Subsys: cdE
################################################################################
# Collectl:   V3.1.2-2  HiRes: 1  Options: -C. -p /tmp/hadesn2-20081204-061631.raw.gz -P -ocz -f /home/mjs/collectl-utils/plotfiles 
# Host:       hadesn2  DaemonOpts: 
# Distro:     Red Hat Enterprise Linux Server release 5.1 (Tikanga)
# Date:       20081204-061631  Secs: 1228389391 TZ: -0500
# SubSys:     cdE SubOpts:  Options: cz NfsOpts:  Interval: 1::1 NumCPUs: 8  Flags: 
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:         Speed(MHz):  Cores:   Siblings: 
# Kernel:     2.6.18-53.el5  Memory: 16438976  Swap: 
# NumDisks:   2 DiskNames: c0d0 c0d1
# NumNets:    6 NetNames: lo: eth0:1000 eth1:1000 sit0: ib0:20000 ib1:20000
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20081204 06:17:50 0 0 0 0 0 0 0 100 0 1012 2033 1 208 0 0 0 0 0 2 2 0 12 12 0 1 1
20081204 06:17:51 0 0 0 0 0 0 0 100 0 1033 2077 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:52 0 0 0 0 0 0 0 100 0 1012 2074 1 208 0 0 0 0 0 2 2 0 60 60 0 13 13
20081204 06:17:53 0 0 0 0 0 0 0 100 0 1016 2053 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:54 0 0 0 0 0 0 0 100 0 1015 2040 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:55 0 0 0 0 0 0 0 100 0 1011 2046 1 208 0 0 0 0 0 2 2 0 12 12 0 1 1
20081204 06:17:56 0 0 0 0 0 0 0 100 0 1009 2074 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:57 0 0 0 0 0 0 0 100 0 1010 2063 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:17:58 0 0 0 0 0 0 0 100 0 1014 2051 1 208 0 0 0 0 0 2 2 0 60 60 0 13 13
20081204 06:17:59 0 0 0 0 0 0 0 100 0 1014 2029 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
20081204 06:18:00 0 0 0 0 0 0 0 100 0 1013 2079 1 208 0 0 0 0 0 3 3 0 12 12 0 0 0
20081204 06:18:01 0 0 0 0 0 0 0 100 0 1007 2073 1 208 0 0 0 0 0 0 0 0 0 0 0 0 0
